Flow IAT Mean,Bwd Packet Length Max,Flow Duration,Flow Packets/s,Init_Win_bytes_forward,Bwd Packets/s,Packet Length Variance,Bwd IAT Total,Packet Length Mean,Fwd IAT Min,Total Length of Fwd Packets,Bwd IAT Max,Packet_Balance,Flow IAT Min,Traffic_Ratio,Fwd Packet Length Max,Flow Bytes/s,Total Fwd Packets,Fwd IAT Mean,Init_Win_bytes_backward,Flow IAT Std,Actual_Label,Predicted_Label
1.7138909,-0.03300254,0.7416386,-0.011889973,5.8002405,-0.01762073,-0.002146476,-0.00013862216,-0.116864376,20775.021,-0.30395138,-0.00022246916,1399977.0,20351.02,-0.38353312,-0.1625,-0.051480275,0.8,0.9989555,-0.4680851,0.61475426,BENIGN,DoS Slowhttptest
1.7138909,-0.03300254,0.741027,-0.011889938,5.8002405,-0.01762073,-0.002146476,-0.00013862216,-0.116864376,20787.562,-0.30395138,-0.00022246916,1399977.0,20363.307,-0.38353312,-0.1625,-0.051480275,0.8,0.9989555,-0.4680851,0.61475426,BENIGN,DoS Slowhttptest
-0.008335762,-0.03300254,-0.0017647945,5.748136,0.004608295,-0.01762073,-0.002146476,-0.00013862216,-0.116864376,2.625,-0.30395138,-0.00022246916,399992.0,2.5510204,-0.38353312,-0.1625,-0.051480275,-0.2,-0.00103254,-0.4680851,-0.0018273474,BENIGN,DoS Hulk
1.7138909,-0.03300254,0.7417168,-0.011889976,5.8002405,-0.01762073,-0.002146476,-0.00013862216,-0.116864376,20756.5,-0.30395138,-0.00022246916,1399977.0,20332.877,-0.38353312,-0.1625,-0.051480275,0.8,0.9989555,-0.4680851,0.61475426,BENIGN,DoS Slowhttptest
-0.008342159,-0.03300254,-0.0017652536,8.244165,0.0,-0.01762073,-0.002146476,-0.00013862216,-0.116864376,1.8125,-0.30395138,-0.00022246916,399992.0,1.755102,-0.38353312,-0.1625,-0.051480275,-0.2,-0.0010362542,-0.4680851,-0.0018273474,BENIGN,DoS Hulk
1.7138909,-0.03300254,0.7414751,-0.011889963,5.8002405,-0.01762073,-0.002146476,-0.00013862216,-0.116864376,20818.875,-0.30395138,-0.00022246916,1399977.0,20393.98,-0.38353312,-0.1625,-0.051480275,0.8,0.9989555,-0.4680851,0.61475426,BENIGN,DoS Slowhttptest
-0.00829902,-0.03300254,-0.0017621573,2.0930223,0.0,-0.01762073,-0.002146476,-0.00013862216,-0.116864376,7.2916665,-0.30395138,-0.00022246916,399992.0,7.122449,-0.38353312,-0.1625,-0.051480275,-0.2,-0.0010112067,-0.4680851,-0.0018273474,BENIGN,DoS Hulk
0.14385223,-0.03300254,0.009158642,-0.011130434,-0.0044079344,-0.01762073,-0.002146476,-0.00013862216,-0.116864376,19332.666,-0.30395138,-0.00022246916,399992.0,18938.102,-0.38353312,-0.1625,-0.051480275,-0.2,0.08733339,-0.4680851,-0.0018273474,BENIGN,DoS Slowhttptest
0.14385568,-0.03300254,0.009158889,-0.011130452,-0.0044079344,-0.01762073,-0.002146476,-0.00013862216,-0.116864376,19333.104,-0.30395138,-0.00022246916,399992.0,18938.531,-0.38353312,-0.1625,-0.051480275,-0.2,0.08733539,-0.4680851,-0.0018273474,BENIGN,DoS Slowhttptest
-0.00832674,-0.03300254,-0.001764147,4.0263767,0.004608295,-0.01762073,-0.002146476,-0.00013862216,-0.116864376,3.7708333,-0.30395138,-0.00022246916,399992.0,3.6734693,-0.38353312,-0.1625,-0.051480275,-0.2,-0.0010273019,-0.4680851,-0.0018273474,BENIGN,DoS Hulk
